단지코드,단지명,주소,상세주소,준공일자,매입일자,공급유형,형명,공급면적,세대수,구분
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,29034,29.78,78,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,36562,36.76,80,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,36563,36.92,230,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,45120,45.84,120,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,45121,45.86,184,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,45122,45.84,40,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,45123,45.86,92,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,51783,51.98,144,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,51784,51.98,177,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,51792,51.98,46,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,51793,51.98,46,건설
C00001,파주운정A18BL(한울5),"경기도 파주시 한울로 84(동패동,휴먼시아 한울마을)",,2010-11-29,,국민임대,059C09,59.88,230,건설
C00002,김포마송10(매수리마을),경기도 김포시 통진읍 마송1로 134-25(마송휴먼시아 매수리마을),,2010-11-23,,국민임대,36646,36.86,86,건설
C00002,김포마송10(매수리마을),경기도 김포시 통진읍 마송1로 134-25(마송휴먼시아 매수리마을),,2010-11-23,,국민임대,36647,36.86,26,건설
